    1.000000E-02   -1.456536E-31
    5.000000E-02    7.813078E-22
    8.000000E-02    8.838489E-15
    1.200000E-01    1.579851E-10
    1.500000E-01    4.646667E-08
    1.700000E-01    2.003415E-06
    2.100000E-01    3.476636E-05
    2.400000E-01    3.417811E-04
    2.600000E-01    1.947080E-03
    2.900000E-01    8.563413E-03
    3.200000E-01    2.658492E-02
    3.500000E-01    6.909516E-02
    3.800000E-01    1.468248E-01
    4.100000E-01    2.647807E-01
    4.300000E-01    4.114136E-01
    4.900000E-01    5.724466E-01
    5.200000E-01    7.204367E-01
    5.600000E-01    8.369238E-01
    6.100000E-01    9.162619E-01
    6.600000E-01    9.616853E-01
    7.000000E-01    9.835005E-01
    7.400000E-01    9.937951E-01
    8.000000E-01    9.972176E-01
    8.300000E-01    9.982831E-01
    8.500000E-01    9.985596E-01
    8.800000E-01    9.986096E-01
    9.100000E-01    9.986129E-01
    9.300000E-01    9.986129E-01
    9.300000E-01    9.986129E-01
    9.600000E-01    9.986129E-01
    9.800000E-01    9.986129E-01
    9.900000E-01    9.986129E-01
    9.800000E-01    9.986129E-01
    9.800000E-01    9.986129E-01
        1.000000    9.986129E-01
    9.900000E-01    9.986129E-01
        1.020000    9.986129E-01
        1.000000    9.986129E-01
        1.010000    9.986129E-01
        1.010000    9.986129E-01
        1.000000    9.986129E-01
        1.000000    9.986129E-01
    9.900000E-01    9.986129E-01
